orthography,ipa
arkipäiväin,/ˈɑrkiˌpæi̯ʋæi̯ne/
armo,/ˈɑrmo/
arkkana,/ˈɑrkːɑnɑ/
arkaloontoin,/ˈɑrkɑˌloːntoi̯ne/
armimain,/ˈɑrmimɑi̯ne/
aroittaa,/ˈɑroi̯tːɑː/
arpi,/ˈɑrpi/
armastaa,/ˈɑrmɑstɑː/
armahtaa,/ˈɑrmɑhtɑː/
armotoin,/ˈɑrmotoi̯n/
armotoin,/ˈɑrmotoi̯n/
arvata,/ˈɑrʋɑtɑ/
arvo,/ˈɑrʋo/
arvaavalliin,/ˈɑrʋɑːʋɑlːine/
artteli,/ˈɑrtːeli/
arpa,/ˈɑrpɑ/
arvoittaa,/ˈɑrʋoi̯tːɑː/
arvolliin,/ˈɑrʋolːine/
arvaava,/ˈɑrʋɑːʋɑ/
asettaa,/ˈɑsetːɑː/
asettaa,/ˈɑsetːɑː/
arvokas,/ˈɑrʋokɑs/
asettaissa,/ˈɑsetːɑi̯sːɑ/
ast,/ˈɑstɑ/
ast,/ˈɑstɑ/
asettua,/ˈɑsetːuɑ/
asse,/ˈɑsːe/
asse,/ˈɑsːe/
astava,/ˈɑstɑʋɑ/
astarga,/ˈɑstɑrɡɑ/
astua,/ˈɑstuɑ/
atlasnoi,/ˈɑtlɑsnoi̯/
astavoittaa,/ˈɑstɑʋoi̯tːɑː/
aukinain,/ˈɑu̯kinɑi̯ne/
auki,/ˈɑu̯ki/
aukka,/ˈɑu̯kːɑ/
Australia,/ˈɑu̯strɑliɑ/
atamaani,/ˈɑtɑmɑːni/
Atu,/ˈɑtu/
aukko,/ˈɑu̯kːo/
avahua,/ˈɑʋɑhuɑ/
avaro,/ˈɑʋɑro/
avata,/ˈɑʋɑtɑ/
avgusta,/ˈɑʋɡustɑ/
avahtua,/ˈɑʋɑhtuɑ/
aula,/ˈɑ.ulɑ/
avaroittaa,/ˈɑʋɑroi̯tːɑː/
avanto,/ˈɑʋɑnto/
avattu,/ˈɑʋɑtːu/
avattu,/ˈɑʋɑtːu/
avonain meri,/ˈɑʋonɑi̯ne ˈmeri/
avvain,/ˈɑʋɑi̯ne/
avonain,/ˈɑʋonɑi̯ne/
azbukki,/ˈɑzbukːi/
avollaa,/ˈɑʋolːɑː/
avittaa,/ˈɑʋitːɑː/
baabuška,/ˈbɑːbuʃkɑ/
avosuu,/ˈɑʋoˌsuː/
avuttaa,/ˈɑʋutːɑː/
balagana,/ˈbɑlɑɡɑnɑ/
babka,/ˈbɑbkɑ/
babka,/ˈbɑbkɑ/
banttasolmi,/ˈbɑntːɑˌsolmi/
bajani,/ˈbɑjɑni/
balalaikka,/ˈbɑlɑlɑi̯kːɑ/
bankivakana,/ˈbɑŋkiʋɑˌkɑnɑ/
bankivakukko,/ˈbɑŋkiʋɑˌkukːo/
basnja,/ˈbɑsnʲɑ/
barabana,/ˈbɑrɑbɑnɑ/
barometra,/ˈbɑrometrɑ/
begemootta,/ˈbeɡemoːtːɑ/
bantta,/ˈbɑntːɑ/
bardakka,/ˈbɑrdɑkːɑ/
bašmakki,/ˈbɑʃmɑkːi/
bibliotekka,/ˈbibliotekːɑ/
bedra,/ˈbedrɑ/
bašmakka,/ˈbɑʃmɑkːɑ/
beekki,/ˈbeːkːi/
Bibliä,/ˈbibliæ/
bläättiä,/ˈblæːtːiæ/
bläädi,/ˈblæːdi/
bintta,/ˈbintːɑ/
boinoi,/ˈboi̯noi̯/
bomba,/ˈbombɑ/
boltuška,/ˈboltuʃkɑ/
borkkana,/ˈborkːɑnɑ/
bohatteri,/ˈbohɑtːeri/
bortsa,/ˈbort͡sɑ/
bolnitsa,/ˈbolnit͡sɑ/
boravikko,/ˈborɑʋikːo/
